Date;Open;High;Low;Close;Adj Close;Volume
05/06/2000;2.736.979;2.937.500;2.627.604;2.799.805;2.568.267;49190400
06/06/2000;2.809.896;2.914.063;2.645.833;2.660.156;2.440.167;37588800
07/06/2000;2.640.625;2.662.760;2.502.604;2.541.667;2.331.476;33235200
08/06/2000;2.606.771;2.609.375;2.458.333;2.561.198;2.349.392;46070400
09/06/2000;2.609.375;2.750.000;2.570.313;2.634.115;2.416.280;46728000
12/06/2000;2.645.833;2.667.969;2.505.208;2.563.802;2.351.781;38001600
13/06/2000;2.492.188;2.645.833;2.479.167;2.644.531;2.425.835;44784000
14/06/2000;2.694.010;2.708.333;2.607.096;2.641.927;2.423.445;27508800
15/06/2000;2.634.115;2.710.938;2.492.188;2.710.938;2.486.749;33859200
16/06/2000;2.701.172;3.125.000;2.700.521;3.119.792;2.861.792;98784000
19/06/2000;3.111.979;3.567.708;3.033.854;3.315.104;3.040.952;105216000
20/06/2000;3.372.396;3.411.458;3.229.167;3.270.833;3.000.341;61027200
21/06/2000;3.220.052;3.666.667;3.220.052;3.602.865;3.304.915;61488000
22/06/2000;3.587.240;3.661.458;3.372.396;3.406.250;3.124.560;61435200
23/06/2000;3.315.104;3.356.771;3.083.333;3.084.635;2.829.542;60739200
26/06/2000;3.145.833;3.476.563;3.096.354;3.457.031;3.171.141;61828800
27/06/2000;3.427.083;3.484.375;2.877.604;2.968.750;2.723.240;60460800
28/06/2000;3.031.250;3.145.833;2.770.833;2.854.167;2.618.134;58660800
29/06/2000;2.804.688;2.804.688;2.395.833;2.442.708;2.240.701;118488000
30/06/2000;2.557.292;2.692.708;2.432.292;2.648.438;2.429.417;120919200
03/07/2000;2.666.667;2.750.000;2.520.833;2.546.875;2.336.254;23268000
05/07/2000;2.536.458;2.541.667;2.197.917;2.273.438;2.085.430;77793600
06/07/2000;2.276.042;2.494.792;2.221.354;2.411.458;2.212.035;60393600
07/07/2000;2.500.000;2.541.667;2.375.000;2.424.479;2.223.980;34656000
10/07/2000;2.382.813;2.609.375;2.359.375;2.549.479;2.338.642;35126400
11/07/2000;2.515.625;2.885.417;2.486.979;2.755.208;2.527.359;75530400
12/07/2000;2.869.792;2.976.563;2.778.646;2.833.333;2.599.023;38815200
13/07/2000;2.893.229;3.114.583;2.888.021;3.098.958;2.842.681;45873600
14/07/2000;3.161.458;3.221.354;3.000.000;3.075.521;2.821.182;28020000
17/07/2000;3.122.396;3.125.000;3.031.250;3.041.667;2.790.128;10555200
18/07/2000;2.875.000;3.125.000;2.875.000;2.981.771;2.735.186;18367200
19/07/2000;2.875.000;2.895.833;2.731.771;2.791.667;2.560.803;18950400
